rule_name,description,benchmark,gpt_answer,gpt_configuration,tag
9.1.2 Documentation annotations,"In addition to the JSDoc described in Annotating JavaScript for the Closure
 Compiler the following tags are common and well supported by various documentation generation tools (such as JsDossier ) for purely documentation purposes.
 You may also see other types of JSDoc annotations in third-party code. These annotations appear in the JSDoc Toolkit Tag Reference but are not considered part of valid Google style.
 9.1.2.1 `@author` or `@owner` - Not recommended. 
 Not recommended. 
 Syntax: `@authorusername@google.com(FirstLast)`
 /**
  * @fileoverview Utilities for handling textareas.
  * @author kuth@google.com (Uthur Pendragon)
  */
 
 Documents the author of a file or the owner of a test, generally only used in the `@fileoverview` comment. The `@owner` tag is used by the unit test dashboard to determine who owns the test results.
 9.1.2.2 `@bug` 
 Syntax: `@bugbugnumber`
 /** @bug 1234567 */
 function testSomething() {
  // …
 }
 
 /**
  * @bug 1234568
  * @bug 1234569
  */
 function testTwoBugs() {
  // …
 }
 
 Indicates what bugs the given test function regression tests. 
 Multiple bugs should each have their own `@bug` line, to make searching for regression tests as easy as possible.
 9.1.2.3 `@code` - Deprecated. Do not use. 
 Deprecated. Do not use. Use Markdown backticks instead. 
 Syntax: `{@code...}` 
 Historically, ``BatchItem`` was written as `{@codeBatchItem}` .
 /** Processes pending `BatchItem` instances. */
 function processBatchItems() {}
 
 Indicates that a term in a JSDoc description is code so it may be correctly formatted in generated documentation.
 9.1.2.4 `@desc` 
 Syntax: `@descMessagedescription`
 /** @desc Notifying a user that their account has been created. */
 exports.MSG_ACCOUNT_CREATED = goog.getMsg(
  'Your account has been successfully created.');
 
 9.1.2.5 `@link` 
 Syntax: `{@link...}` 
 This tag is used to generate cross-reference links within generated documentation.
 /** Processes pending {@link BatchItem} instances. */
 function processBatchItems() {}
 
 Historical note: @link tags have also been used to create external links in generated documentation. For external links, always use Markdown's link syntax instead:
 /**
  * This class implements a useful subset of the
  * [native Event interface](https://dom.spec.whatwg.org/#event).
  */
 class ApplicationEvent {}
 
 9.1.2.6 `@see` 
 Syntax: `@seeLink`
 /**
  * Adds a single item, recklessly.
  * @see #addSafely
  * @see goog.Collect
  * @see goog.RecklessAdder#add
  */
 
 Reference a lookup to another class function or method.
 9.1.2.7 `@supported` 
 Syntax: `@supportedDescription`
 /**
  * @fileoverview Event Manager
  * Provides an abstracted interface to the browsers' event systems.
  * @supported IE10+, Chrome, Safari
  */
 
 Used in a fileoverview to indicate what browsers are supported by the file.",,Yes,"{'valid-jsdoc': [{'prefer': {'return': 'returns', 'arg': 'param', 'argument': 'param', 'class': 'constructor', 'augments': 'extends', 'constant': 'const', 'defaultvalue': 'default', 'desc': 'description', 'exception': 'throws', 'fileoverview': 'file', 'function': 'func', 'method': 'func', 'overview': 'file', 'property': 'prop', 'var': 'member', 'virtual': 'abstract'}, 'requireReturn': True, 'requireReturnType': True, 'requireParamDescription': True, 'requireReturnDescription': True, 'requireParamType': True}], 'require-jsdoc': [{'require': {'FunctionDeclaration': True, 'MethodDefinition': True, 'ClassDeclaration': True, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}]}",valid config part
9.1.3 Framework specific annotations,"The following annotations are specific to a particular framework.
 9.1.3.1 `@ngInject` for Angular 1
 9.1.3.2 `@polymerBehavior` for Polymer 
 https://github.com/google/closure-compiler/wiki/Polymer-Pass",,Yes,"{'wrap-iife': ['outside', {'functionPrototypeMethods': False}]}",exist config in str
9.1.4 Notes about standard Closure Compiler annotations,"The following tags used to be standard but are now deprecated.
 9.1.4.1 `@expose` - Deprecated. Do not use. 
 Deprecated. Do not use. Use `@export` and/or `@nocollapse` instead.
 9.1.4.2 `@inheritDoc` - Deprecated. Do not use. 
 Deprecated. Do not use. Use `@override` instead.",,Yes,"{'valid-jsdoc': ['error', {'prefer': {'expose': 'export', 'inheritDoc': 'override'}}]}",valid config part
9.2 Commonly misunderstood style rules,"Here is a collection of lesser-known or commonly misunderstood facts about Google Style for JavaScript. (The following are true statements; this is not a list of myths. )
 Neither a copyright statement nor `@author` credit is required in a source file. (Neither is explicitly recommended, either.) 
 There is no hard and fast rule governing how to order the members of a class ( ?? ). 
 Empty blocks can usually be represented concisely as `{}` , as detailed in ( ?? ). 
 The prime directive of line-wrapping is: prefer to break at a higher syntactic level ( ?? ). 
 Non-ASCII characters are allowed in string literals, comments and JSDoc, and in fact are recommended when they make the code easier to read than the equivalent Unicode escape would ( ?? ).",,Yes,"{'no-lone-blocks': 'error', 'comma-style': ['error', 'last'], 'vars-on-top': 'error', 'no-var': 'error', 'brace-style': ['error', '1tbs', {'allowSingleLine': True}], 'indent': ['error', 4, {'SwitchCase': 1}], 'dot-notation': ['error', {'allowKeywords': True}], 'no-undefined': 'error', 'no-shadow-restricted-names': 'error', 'comma-dangle': ['error', 'never'], 'no-extra-semi': 'error', 'no-whitespace-before-property': 'error', 'comma-spacing': ['error', {'before': False, 'after': True}], 'no-unexpected-multiline': 'error', 'no-implicit-globals': ['error', {'lexicalBindings': True}], 'no-inner-declarations': ['error', 'functions'], 'no-empty-function': ['error', {'allow': ['functions', 'methods']}], 'semi': ['error', 'always'], 'object-shorthand': ['error', 'always'], 'no-undef': ['error', {'typeof': True}]}",valid config part
9.3 Style-related tools,The following tools exist to support various aspects of Google Style.,,Yes,"{'brace-style': ['1tbs', {'allowSingleLine': False}], 'indent': [4, {'SwitchCase': 0, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock.body': 1, 'CallExpression.arguments': 1, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': False, 'ignoreComments': False}], 'comma-style': ['last', {'exceptions': {'ArrayExpression': False, 'ArrayPattern': False, 'ArrowFunctionExpression': False, 'CallExpression': False, 'FunctionDeclaration': False, 'FunctionExpression': False, 'ImportDeclaration': False, 'ObjectExpression': False, 'ObjectPattern': False, 'VariableDeclaration': False, 'NewExpression': False}}], 'comma-spacing': [{'before': False, 'after': True}], 'keyword-spacing': [{'before': True, 'after': True, 'overrides': {}}], 'space-before-blocks': ['always', {'functions': 'always', 'keywords': 'always', 'classes': 'always'}], 'yoda': ['never', {'exceptRange': False, 'onlyEquality': False}], 'dot-notation': [{'allowKeywords': True, 'allowPattern': ''}], 'quotes': ['double', {'avoidEscape': False, 'allowTemplateLiterals': False}], 'semi-spacing': [{'before': False, 'after': True}]}",valid config part
9.3.1 Closure Compiler,"This program performs type checking and other checks, optimizations and other transformations (such as ECMAScript 6 to ECMAScript 5 code lowering).",,Yes,"{'no-invalid-this': ['error', {'capIsConstructor': True}], 'no-implicit-globals': ['error', {'lexicalBindings': False}], 'no-implicit-coercion': ['error', {'boolean': True, 'number': True, 'string': True, 'disallowTemplateShorthand': False, 'allow': []}], 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'no-caller': 'error', 'prefer-template': 'error', 'block-scoped-var': 'error', 'no-shadow-restricted-names': 'error', 'no-inner-declarations': ['error', 'functions'], 'no-var': 'error', 'prefer-arrow-callback': ['error', {'allowNamedFunctions': False, 'allowUnboundThis': True}], 'no-void': ['error', {'allowAsStatement': False}], 'no-extra-bind': 'error', 'strict': ['error', 'safe'], 'no-script-url': 'error', 'no-unused-expressions': ['error', {'allowShortCircuit': False, 'allowTernary': False, 'allowTaggedTemplates': False, 'enforceForJSX': False}], 'no-func-assign': 'error', 'no-ternary': 'error', 'no-redeclare': ['error', {'builtinGlobals': True}], 'vars-on-top': 'error'}",exist config in str
9.3.2 clang-format,"This program reformats JavaScript source code into Google Style, and also follows a number of non-required but frequently readability-enhancing formatting practices. The output produced by `clang-format` is compliant with the style guide.
 `clang-format` is not required. Authors are allowed to change its output, and reviewers are allowed to ask for such changes; disputes are worked out in the usual way. However, subtrees may choose to opt in to such enforcement locally.",,Yes,"{'indent': ['error', 4, {'SwitchCase': 0, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': 1, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': False, 'ignoreComments': False}], 'comma-spacing': ['error', {'before': False, 'after': True}]}",valid config part
9.3.3 Closure compiler linter,This program checks for a variety of missteps and anti-patterns.,,Yes,"{'no-caller': 'error', 'dot-notation': ['error', {'allowKeywords': True, 'allowPattern': ''}], 'no-implicit-globals': ['error', {'lexicalBindings': False}], 'no-lone-blocks': 'error', 'no-invalid-this': ['error', {'capIsConstructor': True}], 'block-scoped-var': 'error', 'no-ternary': 'error', 'no-extra-semi': 'error', 'no-this-before-super': 'error', 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'prefer-arrow-callback': ['error', {'allowNamedFunctions': False, 'allowUnboundThis': True}], 'no-unreachable': 'error', 'vars-on-top': 'error', 'no-var': 'error', 'no-loop-func': 'error', 'constructor-super': 'error', 'no-extra-bind': 'error', 'no-dupe-class-members': 'error', 'wrap-iife': ['error', {'functionPrototypeMethods': False}], 'no-useless-constructor': 'error'}",valid config part
9.3.4 Conformance framework,"The JS Conformance Framework is a tool that is part of the Closure Compiler that provides developers a simple means to specify a set of additional checks to be run against their code base above the standard checks. Conformance checks can, for example, forbid access to a certain property, or calls to a certain function, or missing type information (unknowns).
 These rules are commonly used to enforce critical restrictions (such as defining globals, which could break the codebase) and security patterns (such as using `eval` or assigning to `innerHTML` ), or more loosely to improve code quality.
 For additional information see the official documentation for the JS Conformance Framework .",,Yes,"{'no-shadow-restricted-names': 'error', 'no-implicit-globals': ['error', {'lexicalBindings': True}], 'dot-notation': ['error', {'allowKeywords': True, 'allowPattern': ''}], 'no-script-url': 'error', 'no-obj-calls': 'error', 'no-implied-eval': 'error', 'no-var': 'error', 'no-invalid-this': ['error', {'capIsConstructor': True}], 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'no-func-assign': 'error', 'wrap-iife': ['error', {'functionPrototypeMethods': False}], 'no-undefined': 'error', 'no-new-native-nonconstructor': 'error', 'no-implicit-coercion': ['error', {'boolean': True, 'number': True, 'string': True, 'disallowTemplateShorthand': False, 'allow': []}], 'constructor-super': 'error', 'consistent-this': ['error', 'that'], 'strict': ['error', 'safe'], 'one-var': ['error', {'var': 'always', 'let': 'always', 'const': 'always'}], 'func-style': ['error', 'declaration', {'allowArrowFunctions': False}], 'no-useless-constructor': 'error'}",valid config part
9.4 Exceptions for legacy platforms,9.4 Exceptions for legacy platforms,,Yes,"{'no-extend-native': ['error', {'exceptions': ['Array', 'Object']}], 'indent-legacy': ['error', {'tab': 'tab', 'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration.parameters': 1, 'FunctionDeclaration.body': 1, 'FunctionExpression.parameters': 1, 'FunctionExpression.body': 1, 'CallExpression.arguments': 1, 'ArrayExpression': 1, 'ObjectExpression': 1}], 'no-global-assign': ['error', {'exceptions': ['Object', 'undefined']}], 'no-native-reassign': ['error', {'exceptions': ['Object', 'undefined']}]}",valid config part
9.4.1 Overview,"This section describes exceptions and additional rules to be followed when modern ECMAScript 6 syntax is not available to the code authors. Exceptions to the recommended style are required when ECMAScript 6 syntax is not possible and are outlined here:
 Use of `var` declarations is allowed 
 Use of `arguments` is allowed 
 Optional parameters without default values are allowed",,Yes,"{'no-var': 'off', 'prefer-rest-params': 'off', 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}]}",exist config in str
9.4.2 Use var,9.4.2 Use var,,Yes,{'no-var': 'off'},valid config part
9.4.2.1 var declarations are NOT block-scoped,"`var` declarations are scoped to the beginning of the nearest enclosing function, script or module, which can cause unexpected behavior, especially with function closures that reference `var` declarations inside of loops. The following code gives an example:
 for (var i = 0; i < 3; ++i) {
  var iteration = i;
  setTimeout(function() { console.log(iteration); }, i*1000);
 }
 
 // logs 2, 2, 2 -- NOT 0, 1, 2
 // because `iteration` is function-scoped, not local to the loop.",,Yes,"{'no-loop-func': 'error', 'one-var': ['error', {'var': 'never'}], 'vars-on-top': 'error', 'no-implicit-globals': ['error', {'lexicalBindings': True}], 'block-scoped-var': 'error', 'no-var': 'error', 'no-inner-declarations': ['error', 'both'], 'no-use-before-define': ['error', {'functions': False, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'no-multi-assign': ['error', {'ignoreNonDeclaration': False}], 'no-redeclare': ['error', {'builtinGlobals': True}], 'init-declarations': ['error', 'always'], 'no-undef-init': 'error', 'no-undef': ['error', {'typeof': True}], 'no-func-assign': 'error', 'no-const-assign': 'error', 'one-var-declaration-per-line': ['error', 'always'], 'no-implied-eval': 'error', 'no-label-var': 'error', 'no-unused-vars': ['error', {'vars': 'all', 'args': 'after-used', 'ignoreRestSiblings': True}], 'no-shadow': ['error', {'builtinGlobals': True, 'hoist': 'all', 'allow': [], 'ignoreOnInitialization': False}]}",exist config in str
